movie_id,kor_title,eng_title,release_date,rating_star,audiences,running_time,production,genre,country,rating_age,img_url,synopsis,star
20217170,"바람이 분다","Wind blows",20210430,6.5,0,69,(주)룬컴퍼니,성인물(에로),한국,청소년관람불가,http://shop1.phinf.naver.net/20200916_92/16002328025658hwam_JPEG/B00CM3S3CA_image1.jpg,"7년 만에 다시 돌아온 이병률의 ‘사람, 인연, 그리고 사랑 이야기’  이병률 여행 산문집『바람이 분다 당신이 좋다』. 시인이자 MBC FM '이소라의 음악도시'의 구성작가였던 이병률이 《끌림》에 이어 두 번째 여행 에세이로 돌아왔다. 여행을 하며 느꼈던 감성적인 사진과 글들로 가득 채워져 있는 이 책에는 ‘사람’에 대한 따뜻한 호기심과 ‘사람’을 기다리는 쓸쓸하거나 저릿한 마음을 만나볼 수 있다. 목차도 페이지도 순서도 없이 마치 여행을 떠났다 돌아오는 듯한 느낌으로 구성되어 있으며, 페이지마다 그가 생각하고 느꼈던 기록들을 오롯이 담아냈다. 길 위에서 쓰고 찍은 사람과 인연, 그리고 사랑의 여행 이야기를 만나본다.",0
20217172,"센코롤 커넥트","Cencoroll Connect",20211027,8,0,74,,애니메이션,일본,12세이상관람가,https://img.extmovie.com/files/attach/images/135/026/655/065/e69eba88bc0e5981276f824446a4f20e.jpg,"정보가 없습니다.",0
20217174,"극장판 콩순이: 장난감나라 대모험","KONGSUNI the movie : Toy World Adventure",20210505,6.5,0,79,(주)모꼬지,애니메이션,한국,전체관람가,http://imgnews.naver.net/image/5648/2021/03/18/0000039523_001_20210318102111864.jpg,"정보가 없습니다.",0
20217197,"끝없음에 관하여","About Endlessness",20211216,6.5,0,76,,기타,기타,12세이상관람가,https://img.extmovie.com/files/attach/images/135/370/723/063/97dd563305bcbb7c4239eab615b3daf7.jpg,"정보가 없습니다.",0
20217198,"뉴 오더","New Order",20211111,6.5,0,86,,스릴러,기타,청소년관람불가,https://i2.ruliweb.com/img/22/01/28/17ea112a52e4c6074.jpeg,"〈황금나침반〉〈트와일라잇: 뉴 문〉〈로그 원: 스타워즈 스토리〉 크리스 웨이츠의 첫 소설 팬데믹 시대를 꿰뚫는 청소년 SF 어드벤처 《영 월드》 시리즈  〈헝거 게임〉과 〈메이즈 러너〉의 아성을 잇는 청소년 SF 액션 어드벤처!  전염병으로 인해 어린이와 어른이 죽고 청소년만 살아남은 세상.  시체로 뒤덮이고 사회 기간 시설이 모두 멈춘 뉴욕에서 벌어지는 10대들의 잔혹한 팬데믹 아포칼립스 어드벤처. 종말 후의 세계에서 피어나는 희망과 성장을 노래한다.  할리우드 최정상 감독의 소설 데뷔작!  ▣ 작품 내용   2권 뉴 오더 갑자기 나타난 어른들에게 잡힌 아이들은 큰 배에 갇혀 심문을 받는다. 알고 보니 미국 밖에서는 그 전염병에 걸리지 않은 어른들이 살아남았고, 하와이와 영국을 거점으로 재건을 준비하고 있다는 것. 그러나 그것은 진실이 아니며 제퍼슨 일행을 구해 주겠다고 접근한 사람들이 있었다. 그들은 미국은 본토의 아이들이 다 죽을 때까지 버려둘 것이라고 하며, 돌아가서 아이들을 통합하고 바깥 세계에 대항할 조직체를 만들자고 제안하고 설득한다. 배에  남겨진 돈나를 제외한 제퍼슨과 피터, 브레인박스, 할렘에서 합류했던 테오, 저항군의 채플은 함께 길을 나서고, 제퍼슨 일행은 부족을 통합하느라 바쁘게 움직인다. 한편, 배에 낙오된 돈나는 영국 재건 위원회에 넘겨진다. 재건 위원회는 돈나에게 풍요로운 삶을 제공하는 대신, 미국 이야기를 들려주기만 하면 된다고 회유한다. 돈나는 재건 위원회에 장단을 맞추며 랍이라는 아이와 가까워지지만 제퍼슨을 그리워한다. 그러다 그가 재건 위원회의 첩자라는 것을 알고 랍을 추궁해 제퍼슨의 상황과 위험요소를 알아낸다. 제퍼슨이 위험하다!",0
20217199,슈퍼노바,Supernova,20210512,6.5,0,94,,"드라마,멜로/로맨스",영국,15세이상관람가,https://img.extmovie.com/files/attach/images/135/311/384/065/d4d45f462533b3049c3847ba38f42640.jpg,"Lyee Kitahala의 BL만화 『젤라떼리아 슈퍼노바』. 인터넷에서 만나 적당히 알고 지낸 사이, 아는 거라곤 서로 간에 적당히 지은 닉네임. 늘 근처에 있는 젤라또 가게 「슈퍼노바」에서 만나고 방에서 하는 것뿐인 관계. 그랬을 터인데 조금씩 변하는 자신의 마음을 눈치챈 사토야. 자신만 깊게 빠져가는 게 불안하지만… 깨달은 마음을 거스르지 못하는데…",0
20217215,"러브 어페어: 우리가 말하는 것, 우리가 하는 것","Love Affair: The Things We Say, The Things We Do",20211111,6.8,0,122,,"드라마,멜로/로맨스",프랑스,15세이상관람가,http://post.phinf.naver.net/MjAyMTExMTBfNzAg/MDAxNjM2NTM4NjE2MDYw.c-_RRICDX8runoEjUKn5GRE3nca26x1iD424Ux3SqBcg.1YVJQkDXqQ6Q295ZVxinvB_TdrkYoWuD1iWu2kify00g.JPEG/I6kG2ENA4jEb9As3sr5eODeml6Co.jpg,"단 한 번의 사고로 웬수 같은 절친에서 부부가 되었다!  찬란하고 애틋하지만 접어야만 했던 첫사랑, 유주. 곁에 있고만 싶어 닿지도 못한 채 마음을 숨기던 소년은 그녀의 손을 이유 없이 잡아도 되는 남자가 되었다. 가장 편한 친구이자 무조건 내 편인 남편, 세현. 결혼도 했고 아이까지 있는데 새삼 마음이 떨린다. 연애하고 싶어. 같이 있는데, 더 붙어 있고 싶어.",0
20217216,"잃어버린 아이들","Lost and love",20210408,9.5,0,108,,기타,기타,12세이상관람가,http://www.movie4989.com/auction/2005/m/2_6228.jpg,"인류의 수명이 300년을 넘은 먼 미래. 인위적으로 기억이 조작된 아이들, 일명 ‘로스트 차일드’가 흘러넘치는 도시에서 기억을 잃은 아름다운 소녀와 상처를 지닌 청년이 운명적으로 만나는데…. 압도적인 화력으로 자아내는 애절한 SF 로맨스!",0
20217218,"아이들은 즐겁다","KIDS ARE FINE",20210505,6.5,0,108,(주)영화사울림,드라마,한국,전체관람가,http://imgnews.naver.net/image/5689/2021/04/26/0000030204_001_20210426090003678.jpg,"어른이 되어서야 보이는 유년 시절의 아련한 기억과 만나다!  흐릿하지만 섬세했던 유년의 기억『아이들은 즐겁다』제1권. 아이들을 둘러싼 위태로운 세계를 날카롭게 그리고 있지만 동시에 주변에 대한 따뜻한 시선이 느껴지는 작품이다. 예고도 없이 찾아오는 불행 앞에서 주인공은 친구들과 이웃, 가족을 버팀목삼아 의지하며 계속 앞으로 나아간다. 상처가 상처인 줄, 슬픔이 슬픔인 줄 모르던 그 때. 세상을 겪어나가는 아이들의 이야기가 담담하게 펼쳐진다.  동네 사람들의 수군거리는 뒷이야기, 도시락을 싸 가지 않은 학교 소풍, 친척 손에 맡겨져 이사 가는 친구와의 마지막 인사 등 흐릿하지만 섬세하게 느꼈던 어린시절 슬픔과 상처. 이 책은 세상의 냉정한 표정을 처음 마주하게 된 어린 날의 당혹스러운 마음, 우리 모두가 겪고 지나 온 그때 그 순간을 예리하게 포착하였다. 소소하지만 현실적인 이야기가 공감을 불러일으키며 어른이 된 모두에게 위로를 전한다.   1권에서는 초등학교에 들어간 주인공 다이의 일상이 펼쳐진다. 첫 등교, 반장선거, 소풍, 방학 등 일상이 전개되는 가운데 소소한 즐거움과 마음이 쿵 내려앉는 순간들을 교차하여 그려냈다. 친구들을 만나 서서히 학교생활에 적응해가는 다이와 점점 야위어가는 엄마의 모습이 대비되면서 2권의 클라이막스를 예고한다.",0
20217220,부기,Boogie,20210421,8.2,0,90,,드라마,미국,15세이상관람가,http://imgnews.naver.net/image/5038/2022/06/15/0000730184_001_20220615155001151.jpg,"100일의 기적 시리즈. 중국어 기초 회화를 100일 동안 학습할 수 있도록 구성되어 있다. 저자 손승욱은 ‘우기부기’라는 닉네임으로 활동하고 있는 인기 유튜버로, 중국어 학습 분야에서 최대 구독자 수를 보유하고 있는 유튜브를 운영 중이다. 순수 국내파로 중국어를 독학한 저자가 왕초보 눈높이에 맞추어 쉽게 설명해 준다. ‘1번 듣기’, ‘3번 듣기’ MP3 파일과 함께 저자 직강 동영상강의를 무료로 제공한다.",0
